Record ID	PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	IdentifierTypeOfGeneLocusID	GeneLocusID	AA sequence #no EMBL#	NT sequence #no EMBL#	Genomic sequence providing strain	Gene_name	Genome location	Specific modification/s to the targeted protein or promoter	Accession ID for the modified genetic element  	Known interacting protein(s) in the pathogen	Interacting protein - locus ID 	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Pathogen_NCBI_strain_Taxonomy_ID	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Host_strain_genotype_or cultivar_taxonomy_ID_NCBI	HostGenotype_definedGene of interest	HostGenotype_definedGene of interest _AccessionID	tissue_type	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Disease_development_macroscopically_visible	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Essential_gene_Lethal_knockout	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	TestedHostTarget_AccessionID	Interaction phenotype	Host_response	Experimental_evidence	Transient Assay Experimental Evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Full_citation	Author_email	Comments	Reference 	Year_published	Curation details	File_name_pdf_files_provided	_batch_no_	Curated(Month/Year)	_curator_organisation_	__lab__	__FG_mycotoxin__	Additional IdentifierTypeOfGeneLocusID	Additional GeneLocusID	Anti-infective (Chemical)	Compound	Target site	Group name	Chemical group	Mode in planta	FRAC CODE	Additional comments  on anti-infectives	phi3_pars											
Record 57	PHI:69	Uniprot	Q00298	EMBL	CAA93255			SAS56	CUTA							40559	Botrytis cinerea	332648	B05.10	Grey mould	Eudicots	13546	Gerbera (no common name found)					Cutinase				Unaffected pathogenicity	NA	No	No	No													gene disruption			TKB; KHK	9002270	PubMed				Tested on gerbera flowers	Van Kan et al.	1997			PHI-base Vers.3.3		Rres																								
Record 58	PHI:69	Uniprot	Q00298	EMBL	CAA93255			SAS56	CUTA							40559	Botrytis cinerea	332648	B05.10	Grey mould	Eudicots	4081	Solanum lycopersicum (related: Tomato)					Cutinase				Unaffected pathogenicity	NA	No	No	No													gene disruption			TKB; KHK	9002270	PubMed				Tested on tomato fruits.	Van Kan et al.	1997			PHI-base Vers.3.3		Rres																								
Record 59	PHI:69	Uniprot	Q00298	EMBL	CAA93255			SAS56	CUTA						PHI:541	40559	Botrytis cinerea	332648	B05.10	Grey mould	Eudicots	13546	Gerbera (no common name found)					Cutinase				Unaffected pathogenicity																	gene disruption		JVK	SH		Not in PubMed		"Reis et al. (2005) MOLECULAR PLANT PATHOLOGY, 6(3) 257-267"							PHI-base Vers.3.3		Rres																								
Record 60	PHI:69	Uniprot	Q00298	EMBL	CAA93255			SAS56	CUTA						PHI:541	40559	Botrytis cinerea	332648	B05.10	Grey mould	Eudicots	4081	Solanum lycopersicum (related: Tomato)					Cutinase				Unaffected pathogenicity																	gene disruption		JVK	SH		Not in PubMed		"Reis et al. (2005) MOLECULAR PLANT PATHOLOGY, 6(3) 257-267"		Tomato cv. Paradiser					PHI-base Vers.3.3		Rres																								
Record 61	PHI:70	Uniprot	Q00364	EMBL	CAA78400			race 5	ECP1							5499	Cladosporium fulvum	5499	race 5	Leaf mould	Eudicots	4081	Solanum lycopersicum (related: Tomato)					Extracellular Protein 	"GO:0009405, IMP"	GO		Reduced virulence							Reduced										gene deletion			TKB; KHK	0894-0282	WoS		Lauge et al. (1997) MOLECULAR PLANT MICROBE INTERACTIONS 10 (6): 725-734			Laugé et al.	1997			PHI-base Vers.3.3		Rres																								
Record 62	PHI:71	Uniprot	Q00365	EMBL	CAA78401			race 5	ECP2							5499	Cladosporium fulvum	5499	race 5	Leaf mould	Eudicots	4081	Solanum lycopersicum (related: Tomato)					Effector protein	"GO:0009405, IMP"	GO		Reduced virulence						Reduced	Reduced										gene deletion			TKB; KHK	0894-0282	Not in PubMed		Lauge et al. (1997) MOLECULAR PLANT MICROBE INTERACTIONS 10 (6): 725-734			Laugé et al.	1997			PHI-base Vers.3.3		Rres																								
Record 63	PHI:71	Uniprot	Q00365	EMBL	CAA78401			race 5	ECP2							5499	Cladosporium fulvum	5499	race 5	Leaf mould	Eudicots	4081	Solanum lycopersicum (related: Tomato)					Effector protein				Effector (plant avirulence determinant)																	gene deletion			TKB; KHK	9756710; 9671796	PubMed	10.1006/fgbi.1998.1076			Virulent on tomato plants possessing the Cf-ECP2 resistance gene	Lauge et al.	1998			PHI-base Vers.3.3		Rres																								
Record 64	PHI:72	Uniprot	P0DJ06	EMBL	AAM21050			CAI4	SAP2							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Aspartyl proteinase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption			TKB	9284116; 9485603; 9529523; 9841840; 10320576; 10569785; 10540295; 16227594	PubMed					Hube et al.	1997			PHI-base Vers.3.3		Rres																								
Record 65	PHI:72	Uniprot	P0DJ06	EMBL	AAM21050			CAI4	SAP2							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10141	Cavia porcellus (related: Guinea pig)					Aspartyl proteinase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption			TKB	9284116; 9485603; 9529523; 9841840; 10320576; 10569785; 10540295; 16227594	PubMed					Hube et al.	1997			PHI-base Vers.3.3		Rres																								
Record 66	PHI:73	Uniprot	P0CY28	EMBL	AAA34372			SS	SAP3							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10141	Cavia porcellus (related: Guinea pig)					Aspartyl proteinase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption			TKB	9284116; 9485603; 9529523; 9841840; 10569785; 10540295 	PubMed					Hube et al.	1997			PHI-base Vers.3.3		Rres																								
Record 67	PHI:73	Uniprot	P0CY28	EMBL	AAA34372			SS	SAP3							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Aspartyl proteinase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption			TKB	9284116; 9485603; 9529523; 9841840; 10569785; 10540295 	PubMed					Hube et al.	1997			PHI-base Vers.3.3		Rres																								
Record 68	PHI:75	Uniprot	P0CN96	EMBL	AAD46575			JEC21	GPA1							5207	Cryptococcus neoformans	178876	H99	Cryptococcosis	Moths	7137	Galleria mellonella (related: Greater wax moth)						"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation		AI	KHK; MU	15972469	PubMed	10.1128/IAI.73.7.3842-3850.2005			Tested in G.mellonella caterpillars in the final instar larval stage					PHI-base Vers.3.3		Rres																								
Record 69	PHI:75	Uniprot	P0CN96	EMBL	AAD46575			JEC21	GPA1							5207	Cryptococcus neoformans	5207	H99	Cryptococcosis	Rabbits & hares	9986	Oryctolagus cuniculus (related: Rabbit)					G alpha protein subunit	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			KHK; MU	9389652	PubMed					Alspaugh et al.	1997			PHI-base Vers.3.3		Rres																								
Record 70	PHI:75	Uniprot	P0CN96	EMBL	AAD46575			JEC21	GPA1							5207	Cryptococcus neoformans	178876	H99	Cryptococcosis	Nematodes	6239	Caenorhabditis elegans (related: Roundworm)					G alpha protein subunit	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			KHK; MU	12438649	PubMed	10.1073/pnas.232568599			Tested in C.elegans strain N2 Bristol					PHI-base Vers.3.3		Rres																								
Record 71	PHI:76	Uniprot	P87032	EMBL	AAC49724			FB1	GPA1							5270	Ustilago maydis	5270	"FB1, FB2"	Corn smut	Monocots	4577	Zea mays (related: Maize)					G alpha protein subunit				Unaffected pathogenicity																	gene disruption			MU	9155019	PubMed					Regenfelder et al.	1997			PHI-base Vers.3.3		Rres																								
Record 72	PHI:77	Uniprot	P87033	EMBL	AAC49725			FB1	GPA2							5270	Ustilago maydis	5270	"FB1, FB2"	Corn smut	Monocots	4577	Zea mays (related: Maize)					G alpha protein subunit				Unaffected pathogenicity																	gene disruption			MU	9155019	PubMed					Regenfelder et al.	1997			PHI-base Vers.3.3		Rres																								
Record 73	PHI:78	Uniprot	P87034	EMBL	AAC49726			FB1	GPA3							5270	Ustilago maydis	5270	"FB1, FB2, CL13, SG200"	Corn smut	Monocots	4577	Zea mays (related: Maize)					G alpha protein subunit	"GO:0009405, IMP"	GO		Loss of pathogenicity 	Yes	No Data	No Data	No Data													gene disruption			MU	9155019; 11043465	PubMed					Regenfelder et al.	1997			PHI-base Vers.3.3		Rres																								
Record 74	PHI:79	Uniprot	P87035	EMBL	AAC49727			FB1	GPA4							5270	Ustilago maydis	5270	"FB1, FB2"	Corn smut	Monocots	4577	Zea mays (related: Maize)					G alpha protein subunit				Unaffected pathogenicity																	gene disruption			MU	9155019	PubMed					Regenfelder et al.	1997			PHI-base Vers.3.3		Rres																								
Record 75	PHI:80	Uniprot	Q00313	EMBL	AAB39507				TOP1 							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Topoisomerase I	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			TKB	9043115	PubMed					Jiang et al.	1997			PHI-base Vers.3.3		Rres																								
Record 76	PHI:81	Uniprot	O13328	EMBL	AAB66482			70-15	MAC1							318829	Magnaporthe oryzae			Rice blast	Monocots	4530	Oryza sativa (related: Rice)					Adenylate cyclase	"GO:0009405, IMP"	GO	cAMP signalling	Reduced virulence																	gene deletion			MU	9401122; 11006342 	PubMed	10.1105/tpc.9.11.1973			Pleiotropic effects of mutant allele; Partial gene deletion	Choi and Dean	1997			PHI-base Vers.3.3		Rres																								
Record 77	PHI:82	Uniprot	O13314	EMBL	AAB65425			70-15	MAGA							318829	Magnaporthe oryzae			Rice blast	Monocots	4530	Oryza sativa (related: Rice)					G alpha protein subunit	"GO:0016526, NAS"	GO		Unaffected pathogenicity		No	No	No		Wild type	No mature asci	Wild type									gene deletion			MU	9390422	PubMed				Partial gene deletion	Liu and Dean	1997			PHI-base Vers.3.3		Rres																								
Record 78	PHI:83	Uniprot	O13315	EMBL	AAB65426			70-15	MAGB							318829	Magnaporthe oryzae			Rice blast	Monocots	4530	Oryza sativa (related: Rice)					G alpha protein subunit	"GO:0009405, IMP; GO:0044409, IMP; GO:0030437, IMP; GO:0016526, NAS"	GO	cAMP signalling	Reduced virulence		Yes	 Yes	No Data		Reduced	No perithecia formation	Reduced									gene disruption; gene complementation			MU	9390422	PubMed					Liu and Dean	1997			PHI-base Vers.3.3		Rres																								
Record 79	PHI:84	Uniprot	O13316	EMBL	AAB65427			70-15	MAGC							318829	Magnaporthe oryzae			Rice blast	Monocots	4530	Oryza sativa (related: Rice)					G alpha protein subunit	"GO:0016526, NAS; GO:0030437, IMP"	GO		Unaffected pathogenicity																	gene deletion			MU	14667055	PubMed				Partial gene deletion	Liu and Dean	1997			PHI-base Vers.3.3		Rres																								
Record 80	PHI:85	Uniprot	O14427	EMBL	AAB68613				CLA4							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Protein Kinase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption			MU	9259554; 10816502 	PubMed					Leberer et al.	1997			PHI-base Vers.3.3		Rres																								
Record 81	PHI:86	Uniprot	P43079	EMBL	AAA64692				CPH1						PHI:87	5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Regulatory protein	"GO:0009405, IGI; GO:0044412"	GO		Loss of pathogenicity 				Yes													gene disruption; gene complementation			TKB	9298905; 10377153; 10816502; 11595734; 11796627 	PubMed					Lo et al.	1997			PHI-base Vers.3.3		Rres																								
Record 82	PHI:87	Uniprot	P43064	EMBL	CAA83640			ATCC10231	EFG1						PHI:86	5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Transcription factor	"GO:0009405, IGI"	GO		Loss of pathogenicity 																	gene disruption; gene complementation			TKB	9298905; 10377153; 10816502; 11595734; 11796627; 12798685	PubMed					Lo et al.	1997			PHI-base Vers.3.3		Rres																								
Record 83	PHI:87	Uniprot	P43064	EMBL	CAA83640			ATCC10231	EFG1							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Transcription factor	"GO:0009405, IMP"	GO	Ras-protein kinase A	Reduced virulence																	gene disruption; gene complementation			TKB	15760450; 10816502; 11595734; 12798685	PubMed	10.1111/j.1462-5822.2004.00476.x				Park et al.	2005			PHI-base Vers.3.3		Rres																								
Record 84	PHI:88	Uniprot	P41749	EMBL	AAA85279			70	PECA							5059	Aspergillus flavus	5059	12		Eudicots	3635	Gossypium hirsutum (related: Upland cotton)					Polygalacturonase	"GO:0009405, IMP; GO:0044412"	GO		Reduced virulence		No Data	No Data	Yes													gene deletion; gene complementation			TKB; KHK	9293005	PubMed					Shieh et al.	1997			PHI-base Vers.3.3		Rres																								
Record 85	PHI:89	Uniprot	O42773	EMBL	AAB97372			H99	CNA1							5207	Cryptococcus neoformans	5207	M049	Cryptococcosis	Rabbits & hares	9986	Oryctolagus cuniculus (related: Rabbit)					Calcineurin A catalytic subunit/ Serine/threonine phosphatase 2B	"GO:0009405, IMP"	GO		Loss of pathogenicity 																	gene disruption; gene complementation			MU; KHK	9184205	PubMed	10.1093/emboj/16.10.2576				Odom et al.	1997			PHI-base Vers.3.3		Rres																								
Record 86	PHI:95	Uniprot	P53707	EMBL	AAB66368			ATCC 26555	CSP37							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Membrane protein	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption			TKB	9244249	PubMed					Sentandreu et al.	1997			PHI-base Vers.3.3		Rres																								
Record 87	PHI:96	Uniprot	P43098	EMBL	AAA34345			4918	FAS2							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Fatty acid synthetase	"GO:0009405, IMP"	GO		Loss of pathogenicity 																	gene disruption; gene complementation			TKB	9009352	PubMed					Zhao et al.	1997			PHI-base Vers.3.3		Rres																								
Record 88	PHI:96	Uniprot	P43098	EMBL	AAA34345			4918	FAS2							5476	Candida albicans	5476		Candidiasis	Rodents	10114	Rattus (related: Rat)					Fatty acid synthetase	"GO:0009405, IMP"	GO		Loss of pathogenicity 																	gene disruption; gene complementation			TKB	8828218	PubMed				Oropharyngeal candidiasis	Zhao et al.	1996			PHI-base Vers.3.3		Rres																								
Record 89	PHI:97	Uniprot	Q92215	EMBL	AAC62818			SB111	TOXC							5017	Cochliobolus carbonum	5017	164R10	Leaf spot	Monocots	4577	Zea mays (related: Maize)					Fatty acid synthetase	"GO:0009405, IMP; GO:0044412"	GO	HC-toxin biosynthesis	Reduced virulence		No	No	Yes				Wild type	Wild type								gene disruption			TKB; JA	9057326	PubMed					Ahn and Walton	1997			PHI-base Vers.3.3		Rres																								
Record 90	PHI:98	Uniprot	O13394	EMBL	AAB84284			518	umCHS5							5270	Ustilago maydis	5270	"FB1, FB2"	Corn smut	Monocots	4577	Zea mays (related: Maize)					Chitin Synthase	"GO:0009405, IMP"	GO		Reduced virulence	No	No Data	No Data	No Data				Reduced									gene deletion; gene complementation			TKB	9454647	PubMed					Xoconostle-Cazares et al.	1997			PHI-base Vers.3.3		Rres																								
Record 91	PHI:99	Uniprot	Q8J0D1	EMBL	BAC41196			Guy11	ACR1							318829	Magnaporthe oryzae			Rice blast	Monocots	4530	Oryza sativa (related: Rice)					Putative transcription factor	"GO:0009405, IMP; GO:0044409, IMP"	GO		Loss of pathogenicity 		Yes	Yes	Yes													gene deletion; gene complementation			MU	9742203	PubMed				Plasmid insertion	Lau and Hamer	1998			PHI-base Vers.3.3		Rres																								
Record 92	PHI:100	Uniprot	Q99079	EMBL	AAA75366			strain 518 (a2b2)	ADR1							5270	Ustilago maydis	5270	"d132, 518, 521"	Corn smut	Monocots	4577	Zea mays (related: Maize)					PKA catalytic subunit	"GO:0009405, IMP; GO:0051701"	GO		Loss of pathogenicity 																	gene disruption			MU	9576944	PubMed					Durrenberger et al.	1998			PHI-base Vers.3.3		Rres																								
Record 93	PHI:101	Uniprot	O59897	EMBL	AAC39471			B-5233	ALB1							746128	Aspergillus fumigatus	no data found	B-5233	Respiratory disease	Rodents	10090	Mus musculus (related: House mouse)					Polyketide synthase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; altered gene expression / gene regulation: overexpression; complementation			TKB	9620950; 11040426 	PubMed					Tsai et al.	1998			PHI-base Vers.3.3		Rres																								
Record 94	PHI:103	Uniprot	O94100	EMBL	AAC64374			SAS56	BCPGA1							40559	Botrytis cinerea	40559	SAS56	Grey mould	Eudicots	4081	Solanum lycopersicum (related: Tomato)					Endopolygalacturonase	"GO:0009405, IMP; GO:0044412"	GO		Reduced virulence		No	No	Yes													gene disruption			MU	9768518	PubMed				Tested on tomato leaves	ten Have et al.	1998			PHI-base Vers.3.3		Rres																								
Record 95	PHI:103	Uniprot	O94100	EMBL	AAC64374			SAS56	BCPGA1							40559	Botrytis cinerea	40559	SAS56	Grey mould	Eudicots	4081	Solanum lycopersicum (related: Tomato)					Endopolygalacturonase	"GO:0009405, IMP, GO:0044412"	GO		Reduced virulence		No	No	Yes													gene disruption			MU	9768518	PubMed				Tested on tomato fruits	ten Have et al.	1998			PHI-base Vers.3.3		Rres																								
Record 96	PHI:103	Uniprot	O94100	EMBL	AAC64374			SAS56	BCPGA1							40559	Botrytis cinerea	40559	SAS56	Grey mould	Eudicots	3750	Malus domestica (related: Apple)					Endopolygalacturonase	"GO:0009405, IMP; GO:0044412"	GO		Reduced virulence		No	No	Yes													gene disruption			MU	9768518	PubMed				Tested on apple fruits	ten Have et al.	1998			PHI-base Vers.3.3		Rres																								
Record 97	PHI:104	Uniprot	Q00310	EMBL	CAA67930			CAI-4	CaMNT1							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10141	Cavia porcellus (related: Guinea pig)					Synthesis of mannoproteins	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption			TKB	9636208	PubMed					Buurman et al.	1998			PHI-base Vers.3.3		Rres																								
Record 98	PHI:104	Uniprot	Q00310	EMBL	CAA67930			CAI-4	CaMNT1							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Synthesis of mannoproteins	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption			TKB	9636208; 10766761 	PubMed	10.1074/jbc.M909699199				Buurman et al.	1998			PHI-base Vers.3.3		Rres																								
Record 99	PHI:105	Uniprot	Q9UWF6	EMBL	AAC61890			SC5314	PLB1							5476	Candida albicans	5476	SC5314	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Phospholipase B	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			TKB	9748287; 11535799	PubMed					Leidich et al.	1998			PHI-base Vers.3.3		Rres																								
Record 100	PHI:106	Uniprot	O13289	EMBL	AAC39448			ATCC 10261	CAT1							5476	Candida albicans	5476	ATCC 10261	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Catalase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption			TKB	9573075	PubMed					Wysong et al.	1998			PHI-base Vers.3.3		Rres																								
Record 101	PHI:107	Uniprot	Q5A1D3	EMBL	EAK96519			SC5314	CEK1							5476	Candida albicans	5476	SC5314	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					MAP kinase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			TKB	9596738; 9741091	PubMed				FUS3/KSS1 homologue	Csank et al. 	1998			PHI-base Vers.3.3		Rres																								
Record 102	PHI:109	Uniprot	P87248	EMBL	AAB61403			UPS9	CLK1							290576	Colletotrichum lindemuthianum	290576	UPS9	Anthracnose	Eudicots	3885	Phaseolus vulgaris (related: String bean)					Protein kinase (Ser/thr)	"GO:0009405, IMP; GO:0044409; GO:0044412"	GO		Reduced virulence		No	Yes	Yes													gene deletion			MU; JK	9450334	PubMed				Partial gene deletion	Dufresne et al.	1998			PHI-base Vers.3.3		Rres																								
Record 103	PHI:111	Uniprot	Q01905	EMBL	AAB49807			88069	INF1							4787	Phytophthora infestans	4787	88069	Late blight	Eudicots	4113	Solanum tuberosum (related: Potato)					Effector protein				Effector (plant avirulence determinant)																	gene disruption			MU	9724689	PubMed					Kamoun et al.	1998			PHI-base Vers.3.3		Rres																								
